ObjektID;Erwerbsart;Erwerbsdatum;Titel / Darstellung;Objektname;Datierung;Suchdatum Anfang;Suchdatum Ende;Material / Technik (für Objektbeschriftung);Maße;Beschreibung;Beschriftung(en) / Inschrift(en);Inventarnummer;Andere Nummer;Periode / Epoche / Abschnitt;Vermerke (allgemein);Provenienz / Herkunft / Produktionsort;Literatur / Publikationen;Zustandsbeschreibung (kurz, aktuell);Miturheber;Öffentlich zugänglich;Standort;Texteingabe;Grundstuecksnummer;KG;centroid_lat;centroid_lon;Objektanzahl;Schlagworte
1476420;Grabung;2011-06-17;Sarkophag;;3. Jh. n. Chr.;201;300;Sandstein;"L x B x H: 221 x 101 x 85 cm
Materialstärke: 12 cm";"Der auf dem Grundstück Thurkowitsch samt Deckel in situ aufgedeckte Sarkophagkasten lag in zweiter Reihe des NO-SW orientierten Gräberfeldes nördlich der antiken Straße. Die Außenseiten des Kastens wurden ringsum mit dem Schlageisen in weitgehend horizontal-parallel fischgrätartigen Streifen grob abgezogen. Feiner geglättet sind die Oberkanten. Auf den Innenwandungen sind in einigen Bereichen noch die Spuren der vorgehenden groben Abarbeitung mit schrägparallel geführten Spitzeisenhieben zu sehen; der größere Teil zeigt aber wie an den Außenseiten die nächste Bearbeitungsstufe, bei der das Flacheisen enggehauene, parallel oder gegenläufige Streifen setzt, die durch schmale Grate abgegrenzt sind. Der größte Teil des Bodens ist bis auf einen schmalen Bereich am Kopfende geglättet. Dort wurde die ursprüngliche Kopferhöhung grob abgearbeitet und an ihrer statt in der aufgehenden Wand eine bis zu 10 cm tiefe und 32cm hohe konkave Nische grob ausgehauen. Auf der gegenüberliegenden Seite wurde sekundär ein ca. 6,5-8 cm breites Loch auf Bodenniveau durch die Wandung nach außen gebohrt. Zu einer sekundären Bestattung gehört die aufliegende Deckplatte aus Sandstein (FN 095/2011), die auf einer Schmalseite 50cm überstand. Im Zuge einer Plünderung wurde die Platte in mehrere Sgemente zerbrochen und eines davon an der SO-Langseite entfernt. Entsprechend wurden im Inneren nur wenige dislozierte Knochen entdeckt. Weiterhin fanden sich in der Verfüllung (FN 035/2011) einige Scherben von Gefäßen und Lampen, ein Ziegelstein der Legio XIIII, ein Imbrex und 15 Schneckenhäuser.";;CAR-S-1925;FN 074/2011;;"Schmalseiten Breite: 101cm (West), 98 cm (Ost)
Wandung der Langseiten an Oberkante 11-13cm, an den Schmalseiten 16-17cm. -  Lichte Länge an Oberkante 178cm, am Boden 171 cm. -  Lichte Breite an Oberkante 77cm, am Boden 57 cm. - Lichte Tiefe 58-59cm, im B";;"A. Konecny - F. Humer - K. Großschmidt - N. Fuchshuber - M. Fenik - B. Reindl, FÖ 50, 2011, 284-286 Abb. 41 (Sarkophag 1 auf Grabungsplan) (ed.pr.); A. Konecny, Ein Gräberfeld in Petronell-Carnuntum, Acta Carnuntina 2/1/2012, 22-27 Abb. 1. 3; A. Konecny - F. Humer - K. Großschmidt - N. Fuchshuber - M- Fenik - B. Reindl, Ein Nekropolenbefund am Südrand von Carnuntum. Die Grabung Thurkowitsch, CarnuntumJb 2013, 157-159. 167. 171 Taf. CXVI Abb. 88; A. Konecny - F. Humer - K. Großschmidt - N. Fuchshuber - M. Fenik - B. Reindl, Ein Nekropolenbefund an der südlichen Peripherie von Carnuntum, in: E. Trinkl (Hrsg.), Akten des 14. Österreichischen Archäologentags am Institut für Archäologie der Universität Graz vom 19. bis 21. April 2012 (Wien 2014) 114-122";"Der Sarkophag wird durch 2 vertikal und 3 horizontal verspannte Gurte gesichert. Ein über die lichte Breite verkeilter Holzbalken hält dagegen.
Standort: sog. Steinzelt / Neuer Grund";;0;;Petronell-Carnuntum, Flur 416/1;416/1;;48,1097;;1;Körperbestattung, Beraubt, Beigaben, Deckel vorhanden, Meißelspuren, Kopfnische (sekundär)
1514905;Grabung;2012;Sarkophag Bruchstücke;;2.-3. Jh. n. Chr.;151;300;;L x B x H: 83 x 36 x 14 x 10 cm;Igl gibt die Maße 105x55cm. Der Sarkophag war massiv beschädigt und vollständig beraubt.;keine;CAR-S-1947;M05109.12.10;Mittlere bis späte Kaiserzeit;Die Steinkiste wurde bei einer Grabungsmaßnahme (April-Mai 2012) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld der mittleren Kaiserzeit gehört. Die Datierung gründet in diesem Ko;;R. Igl, FÖ 51, 213;Von dem Sarkophag sind 7 Bruchstücke vorhanden. Das größte Wandungs- und Bodenbruchstück ist 83 cm lang, 36 cm breit. Die Wandungsstärke beträgt 9-10 cm, noch erhaltene Wandungshöhe 14cm.;;0;;Petronell-Carnuntum, Gst. 832/11;832/11;;;;7;Körperbestattung (Fragment), Beraubt
1514902;Grabung;2012;Aschenkiste / Ossuarium oder Kindersarkophag;;2.-3. Jh. n. Chr.;151;300;Kalksandstein;L x B x H: 104 x 73 x 47 x 9 x 28 cm;"Je nach Messpunkt ergeben sich Breiten von von 60oben / 70unten  an der westlichen Schmalseite, oder 64oben / 73unten cm an der östlichen Schmalseite. Wandungsstärke beträgt 9 cm. Lichte Breite 42-44cm; lichte Weite 85cm. Tiefen von Oberkante-Innenboden betragen 25-28 cm.";keine;CAR-S-1946;;mittlere bis späte Kaiserzeit;Die Steinkiste wurde bei einer Grabungsmaßnahme (April-Mai 2012) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld der mittleren Kaiserzeit gehört. Die Datierung gründet in diesem Ko;;R. Igl, FÖ 51, 213 gibt die Maße 100x65cm. Ihm zufolge lag der Deckel SE 1169 (=CAR-S-1945) über dieser vollständig beraubten Kiste / Sarkophag.;;;0;;Petronell-Carnuntum, Gst. 832/11;832/11;;;;1;Brandbestattung (oder Kind), Beraubt, Deckel vorhanden
1514866;(not assigned);;Ossuarium / Steinkiste;;1.-4. Jh. n. Chr.;1;400;;;Kleine Steinkiste. Keine Dokumentation vorhanden.;keine;CAR-S-1942;;antik;;;keine;"Tiefe von Oberkante zum Innenboden max. 8,5cm
Stärke meint Wandungsdicke: 5-5,cm";;0;;Carnuntum;;;;;1;Brandbestattung
1514867;(not assigned);;Sarkophag Bruchstück;;1.-4. Jh. n. Chr.;1;400;;;Bruchstück unbekannter Herkunft. Keine Dokumentation zuweisbar.;keine;CAR-S-1943;;antik;;;;Wandungs- und Bodenstück.;;0;;unbekannt;;;;;1;Körperbestattung (Fragment)
1514901;Grabung;2012;Deckel einer Aschenkiste / Ossuarium oder eines Kindersarkophages;;2.-3. Jh. n. Chr.;151;300;Kalksandstein;L x B x D: 62 x 61 x 18 cm;"Das größere Bruchstück ist 61 cm breit (antik) - weitestgehend passend zu den von Igl gegebenen Maßen von 60cm; erh. L 62cm und 40cm antik; gebrochene Breite 40cm, 17-18 cm dick. 
Das kleinere Bruchstück ist noch 49 und 50 cm lang, bzw. 19 und 30 cm breit, 13-17 cm dick. 
Der Deckel gehört zu Ossuarium / Aschenkiste bzw. Kindersarkophag CAR-S-1946";;CAR-S-1945;M05109.12.10;mittlere bis späte Kaiserzeit;Der Sarkophagdeckel wurde bei einer Grabungsmaßnahme (April-Mai 2012) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld der mittleren Kaiserzeit gehört. Die Datierung gründet in dies;;R. Igl, FÖ 51, 213 gibt die Maße 115x60cm. Ihm zufolge lag der Deckel über der vollständig beraubten Kiste SE 1180 (=CAR-S-1946);Von dem anscheinend in einem Stück geborgenen Deckel sind zwei Bruchstücke vorhanden, die sich nicht zu einem vollständigen Stück zusammenfügen lassen. Verbleib?;;0;;Petronell-Carnuntum, Gst. 832/11;832/11;;;;2;Deckel, Brandbestattung (oder Kind), Beraubt
1514868;Grabung;2012;Deckplatte eines Ziegelplattengrabes;;2.-3. Jh. n. Chr.;151;300;;L x B x D: 134 x 83 x 19 cm;"Die Oberseite trägt eine weiße Verputzschicht. Im Abstand von 5cm zur O-Kante und 3cm Abstand zur S-Kante verläuft eine dünne rote Linie. Von dieser Rahmenleiste der Längsseite schwingen dünne Linien derselben Stärke nach innen: einfache Ranken, Girlanden etc. 
In der SW-Ecke finden sich Reste roter Bemalung, deren Formen nicht bestimmbar sind.";keine;CAR-S-1944;M05109.12.10;mittlere bis späte Kaiserzeit;Die Deckplatte eines Ziegelplattengrabes wurden bei einer Grabungsmaßnahme (April-Mai 2012) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld der mittleren Kaiserzeit gehört. Die Dat;;R. Igl, FÖ 51, 213 zum Grabkontext.;W-Kante noch 113cm lang, O-Kante noch 134cm lang.;;0;;Petronell-Carnuntum, Gst. 832/11;832/11;;;;1;Deckel, Malerei/Dekor
1515058;(not assigned);;Sarkophag mit Kopfpolster;;2.-4. Jh. n. Chr.;151;400;Muschelkalkstein;L x B x H: 219 x 96 x 62 x 13 cm;"Die langen Außenfronten sind in schrägparallelen Bahnen steil nach oben strebend meißelgeglättet. Schmalseiten, Oberkanten und der Innenbereich sind deutlich feiner geglättet. 
Maße: Kopfstück: Langseiten 114 bzw. 67 cm lang. Höhe 62cm. Breite oben 92cm, unten 96cm. Das bis zu 8cm hohe Kopfpolster ist 22cm bis zur Kante, und weitere 18cm bis zum Innenboden lang.  
Fußstück:  Langseiten ca. 105 bzw. 136 cm lang. Höhe 64 cm. Breite oben 96 cm, unten 93 cm. 
Auffallend gleichförmige Wandungstärke von 13cm.";keine;CAR-S-2000;;Mittlere bis späte Kaiserzeit;Keine Funddokumentation zuweisbar.;;;In zwei anpassende Hälften zerbrochener Sarkophag, in dem ein größeres Wandungsfragment liegt.;;0;;;;;;;1;Körperbestattung, Kopfpolster, Meißelspuren
1514681;Grabung;2016;Sarkophag mit Kopfpolster;;3.-4. Jh. n. Chr.;201;400;;;In einer Grabungsmaßnahme vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckter Sarkophag mit Kopfpolster, der zu einem antiken Gräberfeld gehört. Die Datierung ist nicht gesichert.;;CAR-S-1938;53;spätantik;;;"R. Igl, FÖ 55, 2016, 235 f. und 
R. Igl, Das römische Gräberfeld Carnuntum ""Bernsteinstraße, Acta Carnuntina 7/2/2017, 3. 8-23 zur Gabungsmaßnahme.";;;0;;Petronell-Carnuntum, Gst. 832/12 ;832/12;;;;1;Körperbestattung, Kopfpolster, Spätantik
1118514;(not assigned);;Steinkiste;Steinkiste;;;;;;;;CAR-S-1413;;;;;;;;0;Depot, Depot Kulturfabrik Hainburg, EG, V - 16 - 1;;;;;;1;Steinkiste
1118455;(not assigned);;Steinkiste;Bruchstück;;;;;;;;CAR-S-1417;;;;;;;;0;Depot, Depot Kulturfabrik Hainburg, EG, V - 16 - 1;;;;;;1;Steinkiste (Fragment)
1118454;(not assigned);;Steinkiste;Bruchstück;;;;;;;;CAR-S-1418;;;;;;;;0;Depot, Depot Kulturfabrik Hainburg, EG, V - 16 - 1;;;;;;1;Steinkiste (Fragment)
1118439;(not assigned);;Steinkistenfragment;Bruchstück;;;;;;;;CAR-S-1433;;;;;;;;0;Depot, Depot Kulturfabrik Hainburg, EG, II - 08 - 4;;;;;;1;Steinkiste (Fragment)
1514680;Grabung;2016;Sarkophagdeckel;;3.-4. Jh. n. Chr.;201;400;;L x B x H: 99 x 56 x 31 cm;Die Deckelfragmente CAR-S-1937, CAR-S-1940, CAR-S-1941 gehören den beiliegenden Fundzetteln nach zu urteilen - Fn 52 Signatur 9 - zu einem Sarkophagdeckel von über 200 cm Länge und 110 cm Breite.;keine;CAR-S-1937;M05109.16.02;spätantik;Der Sarkophagdeckel wurde bei einer Grabungsmaßnahme vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung beruht auf der Beobachtung, daß die meisten Sarkophage au;;"R. Igl, FÖ 55, 2016, 235 f. und
R. Igl, Das römische Gräberfeld Carnuntum ""Bernsteinstraße, Acta Carnuntina 7/2/2017, 3. 8-23 zur Maßnahme.";Eckfragment eines Sarkophagdeckels. Die antike Langseite ist noch 99cm, die max. Länge ist 126 cm. Die antike Schmalseite ist noch 56cm breit. Der 1cm hohe Randschlag ist 19-20 cm breit.;;0;;Petronell-Carnuntum, Gst. 832/12;832/12;;;;1;Deckel, Spätantik
1514865;Grabung;2016;Sarkophagdeckel;;3.-4. Jh. n. Chr.;201;400;;;Die Deckelfragmente CAR-S-1937, CAR-S-1940, CAR-S-1941 gehören den beiliegenden Fundzetteln nach zu urteilen - Fn 52 Signatur 9 - zu einem Sarkophagdeckel von über 200 cm Länge und 110 cm Breite.;keine;CAR-S-1941;M05109.16.02;spätantik;Der Sarkophagdeckel wurde bei einer Grabungsmaßnahme vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung beruht auf der Beobachtung, daß die meisten Sarkophage au;;"R. Igl, FÖ 55, 2016, 235 f. und
R. Igl, Das römische Gräberfeld Carnuntum ""Bernsteinstraße, Acta Carnuntina 7/2/2017, 3. 8-23 zur Maßnahme.";"Zwei übereinander liegende Plattenfragmente, vielleicht einer horizontal gespaltenen Deckelplatte. Oben: L 75 Kante (max.97) x B 62 x D 10 cm; Unten L 106 Kante x B 64 x D 18 cm;  
Ein Bruchstück liegt oben auf: L 18 x B 15 x D 10 cm.";;0;;Petronell-Carnuntum, Gst. 832/12;832/12;;;;1;Deckel, Spätantik
1514863;Grabung;2016;Sarkophagdeckel;;3.-4. Jh. n. Chr.;201;400;Sandstein;;Die Deckelfragmente CAR-S-1937, CAR-S-1940, CAR-S-1941 gehören den beiliegenden Fundzetteln nach zu urteilen - Fn 52 Signatur 9 - zu einem Sarkophagdeckel von über 200 cm Länge und 110 cm Breite.;keine;CAR-S-1940;M05109.16.02;spätantik;Die Bruchstücke eines Sarkophagdeckels wurden bei einer Grabungsmaßnahme vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung beruht auf der Beobachtung, daß die m;;"R. Igl, FÖ 55, 2016, 235 f. und
R. Igl, Das römische Gräberfeld Carnuntum ""Bernsteinstraße, Acta Carnuntina 7/2/2017, 3. 8-23 zur Maßnahme.";Endstück einer Deckplatte mit Spiegel. 17-23 cm breiter, 1cm hoher Randschlag. erh. L von Nordseite 72cm, von Südseite 36cm. erh. B an Schmalseite 50cm. erh. D 27-30cm.;;0;;Petronell-Carnuntum, Gst. 832/12;832/12;;;;1;Deckel, Spätantik
1513987;Grabung;2016;Sarkophag;;3.-4. Jh. n. Chr.;201;400;Sandstein;;In einer Grabungsmaßnahme vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedecktes Steinkistengrab, das zu einem antiken Gräberfeld gehört. Die Datierung ist nicht gesichert.;keine;CAR-S-1936;M05109.16.02;spätantik;;;"R. Igl, FÖ 55, 2016, 235 f. zur Grabungsmaßnahme; 
R. Igl, Das römische Gräberfeld Carnuntum ""Bernsteinstraße, Acta Carnuntina 7/2/2017, 3. 8-23 bes. 3 Abb.; 18 Abb. 13. 14";"Eine Platte eines Steinkistengrabes, das durch den Pflug gestört wurde. 
Höhe beträgt 17-20 cm.";;0;;Petronell-Carnuntum, Gst. 832/12;832/12;;;;1;Steinkistengrab
1514907;Grabung;2013;Sarkophagdeckel;;2.-4. Jh. n. Chr.;151;400;;L x B x D: 68 x 60 x 13 cm;Endbruchstück eines Sarkophagdeckels. W-Seite 46 cm, O-Seite 68cm lang erhalten.;keine;CAR-S-1948;M05109.13.05;Mittlere bis späte Kaiserzeit;Der Sarkophagdeckel wurde bei einer Grabungsmaßnahme (April-September 2013) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in diesem Kontext. s. Lage;;R. Igl - O. Rachbauer, FÖ 52, 2013, 232;Längsgebrochenes Bruchstück eines Sarkophagdeckels.;;0;;Petronell-Carnuntum, Gst. 838/10 + 838/11;838/10 + 838/11;;;;1;Deckel (Fragment)
1514908;Grabung;2013;Sarkophag Bruchstücke;;2.-4. Jh. n. Chr.;151;400;;;"Zwei große und 8 mittlere bis kleinere Fragmente eines Sarkophagdeckels. 
Es sind die Maße des größten Bruchstückes angegeben. Maße des zweitgrößten Endstückes: L 52 x B 102 x D 26 cm.";keine;CAR-S-1949;M05109.13.05;Mittlere bis späte Kaiserzeit;Die Bruchstücke eines Sarkophagdeckels wurde bei einer Grabungsmaßnahme (April-September 2013) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in dies;;R. Igl - O. Rachbauer, FÖ 52, 2013, 232;;;0;;Petronell-Carnuntum, Gst. 838/10 + 838/11;838/10 + 838/11;;;;1;Deckel (Fragment)
